interval_id,scenario_id,start_min,end_min,duration_s,inlet_id,drain_node_id,drain_id,road_id,surface_row,surface_col,arrival_volume_m3,potential_inflow_q_m3s,entry_capacity_m3s,entry_capacity_source,entry_capacity_is_observed,coupling_method
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00106,RN_DNODE_00298,RN_DRAIN_00393,RN_ROAD_00053,101,98,315.56250381469727,0.17531250211927626,0.09803784543033917,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00107,RN_DNODE_00299,RN_DRAIN_00206,RN_ROAD_00344,86,98,42.69375038146973,0.023718750211927625,0.02637752433631995,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00108,RN_DNODE_00300,RN_DRAIN_00193,RN_ROAD_00527,85,98,32.17500019073486,0.017875000105963813,0.03485428291526828,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00112,RN_DNODE_00304,RN_DRAIN_00130,RN_ROAD_00547,80,98,40.83750057220459,0.022687500317891438,1.0620185911123488,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00114,RN_DNODE_00314,RN_DRAIN_00441,RN_ROAD_00033,105,99,42.07500076293945,0.023375000423855253,0.30116185815577506,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00115,RN_DNODE_00315,RN_DRAIN_00429,RN_ROAD_00033,104,99,21.037500381469727,0.011687500211927626,0.03485428291526828,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00118,RN_DNODE_00318,RN_DRAIN_00194,RN_ROAD_00347,85,99,566.7750034332275,0.31487500190734863,0.30116185815577506,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00119,RN_DNODE_00319,RN_DRAIN_00182,RN_ROAD_00348,84,99,32.17500019073486,0.017875000105963813,0.03484430030503481,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00121,RN_DNODE_00328,RN_DRAIN_00530,RN_ROAD_00002,113,100,21.65625,0.01203125,0.1272696969192279,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00122,RN_DNODE_00329,RN_DRAIN_00453,RN_ROAD_00034,106,100,321.131254196167,0.17840625233120389,0.02637752433631995,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
