cell_id,start_min,end_min,runoff_m3
R075_C117,0,30,10.518750190734863
R075_C118,0,30,10.518750190734863
R075_C119,0,30,10.518750190734863
R075_C120,0,30,10.518750190734863
R075_C121,0,30,10.518750190734863
R075_C122,0,30,11.137499809265137
R075_C123,0,30,9.28125
R075_C124,0,30,11.137499809265137
R075_C125,0,30,11.137499809265137
R075_C126,0,30,10.518750190734863
R075_C127,0,30,11.137499809265137
R076_C073,0,30,11.137499809265137
R076_C074,0,30,11.137499809265137
R076_C075,0,30,10.518750190734863
R076_C076,0,30,10.518750190734863
R076_C077,0,30,10.518750190734863
R076_C078,0,30,10.518750190734863
R076_C079,0,30,9.28125
R076_C080,0,30,9.28125
R076_C081,0,30,11.137499809265137
R076_C082,0,30,11.137499809265137
R076_C083,0,30,10.518750190734863
R076_C084,0,30,11.137499809265137
R076_C085,0,30,9.28125
R076_C086,0,30,9.28125
R076_C087,0,30,10.518750190734863
R076_C088,0,30,11.137499809265137
R076_C089,0,30,10.518750190734863
R076_C090,0,30,10.518750190734863
R076_C091,0,30,9.28125
R076_C092,0,30,9.28125
R076_C093,0,30,9.28125
R076_C094,0,30,9.28125
R076_C095,0,30,3.7125000953674316
R076_C096,0,30,10.518750190734863
R076_C097,0,30,10.518750190734863
R076_C098,0,30,10.518750190734863
R076_C099,0,30,3.7125000953674316
R076_C100,0,30,9.28125
R076_C101,0,30,3.7125000953674316
R076_C102,0,30,3.7125000953674316
R076_C103,0,30,3.7125000953674316
R076_C104,0,30,3.7125000953674316
R076_C105,0,30,3.7125000953674316
R076_C106,0,30,10.518750190734863
R076_C107,0,30,9.28125
R076_C108,0,30,10.518750190734863
R076_C109,0,30,11.137499809265137
R076_C110,0,30,11.137499809265137
R076_C111,0,30,11.137499809265137
R076_C112,0,30,10.518750190734863
R076_C113,0,30,9.28125
R076_C114,0,30,9.28125
R076_C115,0,30,9.28125
R076_C116,0,30,9.28125
R076_C117,0,30,10.518750190734863
R076_C118,0,30,10.518750190734863
R076_C119,0,30,9.28125
R076_C120,0,30,9.28125
R076_C121,0,30,10.518750190734863
R076_C122,0,30,9.28125
R076_C123,0,30,11.137499809265137
R076_C124,0,30,9.28125
R076_C125,0,30,10.518750190734863
R076_C126,0,30,10.518750190734863
R076_C127,0,30,9.28125
R076_C128,0,30,9.28125
R077_C072,0,30,10.518750190734863
R077_C073,0,30,10.518750190734863
R077_C074,0,30,10.518750190734863
R077_C075,0,30,10.518750190734863
R077_C076,0,30,10.518750190734863
R077_C077,0,30,9.28125
R077_C078,0,30,9.28125
R077_C079,0,30,9.28125
R077_C080,0,30,9.28125
R077_C081,0,30,11.137499809265137
R077_C082,0,30,10.518750190734863
R077_C083,0,30,10.518750190734863
R077_C084,0,30,10.518750190734863
R077_C085,0,30,9.28125
R077_C086,0,30,9.28125
R077_C087,0,30,9.28125
R077_C088,0,30,9.28125
R077_C089,0,30,10.518750190734863
R077_C090,0,30,9.28125
R077_C091,0,30,9.28125
