interval_id,start_min,end_min,edge_id,graph_u,graph_v,graph_key,road_id,source_road_id,road_class,name,length_m,sampling_method,sampling_status,sample_cell_count,max_depth_m,mean_depth_m,p90_depth_m,fraction_gt_0m,fraction_gt_0_02m,fraction_gt_0_10m,fraction_gt_0_30m,flood_risk,flood_risk_rank,risk_policy,is_passable,passability_status,passability_policy
150_180,150,180,RN_ROAD_00530,RN_NODE_00159,RN_NODE_00182,0,RN_ROAD_00530,RN_ROAD_00530,residential,,49.24220454998984,road_line_intersected_raster_cells_all_touched,mapped,2,0.009867743588984,0.0062349658692255,0.0091411880450323,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00531,RN_NODE_00159,RN_NODE_00131,0,RN_ROAD_00531,RN_ROAD_00531,residential,,71.74036240348227,road_line_intersected_raster_cells_all_touched,mapped,4,0.0026021881494671,0.0017147462494904,0.0025181354023516,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00532,RN_NODE_00159,RN_NODE_00160,0,RN_ROAD_00532,RN_ROAD_00532,residential,,44.15789584900035,road_line_intersected_raster_cells_all_touched,mapped,2,0.0028696421068161,0.0027359151281416,0.0028428967110812,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00533,RN_NODE_00160,RN_NODE_00181,0,RN_ROAD_00533,RN_ROAD_00533,residential,,46.16862330443982,road_line_intersected_raster_cells_all_touched,mapped,2,0.0066893296316266,0.0047794858692213,0.0063073608791455,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00544,RN_NODE_00160,RN_NODE_00133,0,RN_ROAD_00544,RN_ROAD_00544,residential,,70.15361406693266,road_line_intersected_raster_cells_all_touched,mapped,4,0.0028696421068161,0.0018047416087938,0.0028236164478585,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00545,RN_NODE_00160,RN_NODE_00161,0,RN_ROAD_00545,RN_ROAD_00545,residential,,41.14857876089963,road_line_intersected_raster_cells_all_touched,mapped,3,0.0041479677893221,0.002688675536774,0.0038923026528209,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00534,RN_NODE_00089,RN_NODE_00085,0,RN_ROAD_00534,RN_ROAD_00534,residential,,27.759811584576703,road_line_intersected_raster_cells_all_touched,mapped,2,0.0014534142101183,0.0009505257767159,0.0013528365234378,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00538,RN_NODE_00085,RN_NODE_00093,0,RN_ROAD_00538,RN_ROAD_00538,residential,,25.9033233881176,road_line_intersected_raster_cells_all_touched,mapped,2,0.0053706625476479,0.0029091499454807,0.0048783600272145,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00542,RN_NODE_00064,RN_NODE_00063,0,RN_ROAD_00542,RN_ROAD_00542,tertiary,['Gulwani Maharaj Path'],13.296628666610651,road_line_intersected_raster_cells_all_touched,mapped,2,0.0090509122237563,0.0055759185925126,0.0083559134975075,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00558,RN_NODE_00064,RN_NODE_00060,0,RN_ROAD_00558,RN_ROAD_00558,secondary,['Amrutrao Khilare Path'],139.93713144357974,road_line_intersected_raster_cells_all_touched,mapped,7,0.0182864628732204,0.0080112110091639,0.0167284615337848,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
