interval_id,start_min,end_min,edge_id,graph_u,graph_v,graph_key,road_id,source_road_id,road_class,name,length_m,sampling_method,sampling_status,sample_cell_count,max_depth_m,mean_depth_m,p90_depth_m,fraction_gt_0m,fraction_gt_0_02m,fraction_gt_0_10m,fraction_gt_0_30m
000_030,0,30,RN_ROAD_00053,RN_NODE_00188,RN_NODE_00186,0,RN_ROAD_00053,RN_ROAD_00053,residential,,34.9736689686955,road_line_intersected_raster_cells_all_touched,mapped,2,0.011268872767686844,0.01059648860245943,0.011134395934641361,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00237,RN_NODE_00188,RN_NODE_00150,0,RN_ROAD_00237,RN_ROAD_00237,residential,,74.85030696139879,road_line_intersected_raster_cells_all_touched,mapped,4,0.0149441072717309,0.011059547890909016,0.014017592929303647,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00047,RN_NODE_00280,RN_NODE_00280,0,RN_ROAD_00047,RN_ROAD_00047,residential,,271.48317612441605,road_line_intersected_raster_cells_all_touched,mapped,10,0.018640292808413506,0.0029767032559902874,0.005749727878719563,0.8,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00046,RN_NODE_00256,RN_NODE_00257,0,RN_ROAD_00046,RN_ROAD_00046,tertiary,,38.72242276576632,road_line_intersected_raster_cells_all_touched,mapped,3,0.004141904413700104,0.0023125691805034876,0.0036502762697637084,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00048,RN_NODE_00267,RN_NODE_00270,0,RN_ROAD_00048,RN_ROAD_00048,residential,,25.878026259087473,road_line_intersected_raster_cells_all_touched,mapped,2,0.0007226960151456296,0.00039249324618140236,0.0006566554613527842,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00050,RN_NODE_00267,RN_NODE_00268,0,RN_ROAD_00050,RN_ROAD_00050,residential,,32.81439084825519,road_line_intersected_raster_cells_all_touched,mapped,3,0.0007226960151456296,0.0004168106437039872,0.0006837039953097701,0.6666666666666666,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00061,RN_NODE_00257,RN_NODE_00258,0,RN_ROAD_00061,RN_ROAD_00061,tertiary,,36.24842936221222,road_line_intersected_raster_cells_all_touched,mapped,2,0.0016837636940181255,0.0012771386827807873,0.001602438691770658,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00062,RN_NODE_00268,RN_NODE_00278,0,RN_ROAD_00062,RN_ROAD_00062,residential,,34.0388930170019,road_line_intersected_raster_cells_all_touched,mapped,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00064,RN_NODE_00268,RN_NODE_00269,0,RN_ROAD_00064,RN_ROAD_00064,residential,,21.492524537581243,road_line_intersected_raster_cells_all_touched,mapped,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00055,RN_NODE_00226,RN_NODE_00227,0,RN_ROAD_00055,RN_ROAD_00055,residential,,39.2116910610255,road_line_intersected_raster_cells_all_touched,mapped,2,0.00592432776466012,0.004381641745567322,0.0056157905608415605,1.0,0.0,0.0,0.0
